"0 disables log cleaning. Not recommended.","0 disables log cleaning. Not recommended."
"A total of %1 email(s) have been cancelled.","A total of %1 email(s) have been cancelled."
"A total of %1 email(s) have been deleted.","A total of %1 email(s) have been deleted."
"A total of %1 email(s) have been sent.","A total of %1 email(s) have been sent."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"Abandoned Cart Reminder","Abandoned Cart Reminder"
"Abandoned Cart Reminder by Aheadworks","Abandoned Cart Reminder by Aheadworks"
"Action","Action"
"Add Rule","Add Rule"
"Alphabetical","Alphabetical"
"Alphanumeric","Alphanumeric"
"All groups","All groups"
"All outgoing emails will be sent to test email recipient","All outgoing emails will be sent to test email recipient"
"All Product Types","All Product Types"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Back","Back"
"Cancel","Cancel"
"Cancel emails","Cancel emails"
"Cancel selected emails?","Cancel selected emails?"
"Cancel the email?","Cancel the email?"
"Cancelled","Cancelled"
"Cart Conditions","Cart Conditions"
"Cart Price Rule","Cart Price Rule"
"Code Format","Code Format"
"Code Length","Code Length"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Conditions","Conditions"
"Content","Content"
"Coupon","Coupon"
"Created At","Created At"
"Customer Groups","Customer Groups"
"Dash Every X Characters","Dash Every X Characters"
"day","day"
"day(s)","day(s)"
"days","days"
"Delete","Delete"
"Delete emails","Delete emails"
"Delete items","Delete items"
"Delete selected emails?","Delete selected emails?"
"Delete the email?","Delete the email?"
"Disable","Disable"
"Disabled","Disabled"
"Edit Rule","Edit Rule"
"Email Name","Email Name"
"Email subject","Email subject"
"Email was successfully cancelled.","Email was successfully cancelled."
"Email was successfully deleted.","Email was successfully deleted."
"Email was successfully sent.","Email was successfully sent."
"Enable","Enable"
"Enable Test Mode","Enable Test Mode"
"Enabled","Enabled"
"Error filtering template: %s","Error filtering template: %s"
"Event object is missing","Event object is missing"
"Excluding prefix, suffix, and separators.","Excluding prefix, suffix, and separators."
"Failed","Failed"
"From","From"
"General","General"
"Get Support","Get Support"
"hour","hour"
"hours","hours"
"ID","ID"
"If empty no separation.","If empty no separation."
"Immediately","Immediately"
"Keep Emails For, days","Keep Emails For, days"
"later","later"
"Mail Log","Mail Log"
"minutes","minutes"
"Name","Name"
"New Rule","New Rule"
"None of selected emails can be cancelled.","None of selected emails can be cancelled."
"None of selected emails can be sent.","None of selected emails can be sent."
"Numeric","Numeric"
"Pending","Pending"
"Preview","Preview"
"Product Conditions","Product Conditions"
"Product Types","Product Types"
"Products","Products"
"Readme","Readme"
"Recipient Email","Recipient Email"
"Recipient Name","Recipient Name"
"Reset","Reset"
"Rule","Rule"
"Rule could not be deleted.","Rule could not be deleted."
"Rule name","Rule name"
"Rule was successfully deleted.","Rule was successfully deleted."
"Rule was successfully saved.","Rule was successfully saved."
"Rules","Rules"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Scheduled At","Scheduled At"
"Send","Send"
"Send Now","Send Now"
"Send now","Send now"
"Send selected emails immediately?","Send selected emails immediately?"
"Send Test Email","Send Test Email"
"Send the email immediately?","Send the email immediately?"
"Send Coupon","Send Coupon"
"Sender","Sender"
"Sent","Sent"
"Settings","Settings"
"Something went wrong while cancelling the email.","Something went wrong while cancelling the email."
"Something went wrong while cancelling the email(s).","Something went wrong while cancelling the email(s)."
"Something went wrong while deleting the email.","Something went wrong while deleting the email."
"Something went wrong while deleting the email(s).","Something went wrong while deleting the email(s)."
"Something went wrong while deleting the items.","Something went wrong while deleting the items."
"Something went wrong while disabling the items.","Something went wrong while disabling the items."
"Something went wrong while enabling the items.","Something went wrong while enabling the items."
"Something went wrong while editing the rule.","Something went wrong while editing the rule."
"Something went wrong while saving the rule data.","Something went wrong while saving the rule data."
"Something went wrong while sending the email.","Something went wrong while sending the email."
"Something went wrong while sending the email(s).","Something went wrong while sending the email(s)."
"Specify rule name, subject and content","Specify rule name, subject and content"
"Specify when email should be sent","Specify when email should be sent"
"Status","Status"
"Store-Views","Store-Views"
"Store View","Store View"
"Subject","Subject"
"This email cannot be cancelled.","This email cannot be cancelled."
"This email cannot be sent.","This email cannot be sent."
"This will be used by default as ""From"" in outgoing emails","This will be used by default as ""From"" in outgoing emails"
"Test Email Recipient","Test Email Recipient"
"To","To"
"Unable to send test email. Test Email Recipient is not specified.","Unable to send test email. Test Email Recipient is not specified."
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"When","When"
"Unable to cancel.","Unable to cancel."
"Unable to send.","Unable to send."
